FIPS,State,County,DIRSALES_FARMS12,PCT_LOCLFARM12,PCT_LOCLSALE12,DIRSALES12,PC_DIRSALES12,FMRKT18,FMRKTPTH18,FMRKT_SNAP18,PCT_FMRKT_SNAP18,FMRKT_WIC18,PCT_FMRKT_WIC18,FMRKT_WICCASH18,PCT_FMRKT_WICCASH18,FMRKT_SFMNP18,PCT_FMRKT_SFMNP18,FMRKT_CREDIT18,PCT_FMRKT_CREDIT18,FMRKT_FRVEG18,PCT_FMRKT_FRVEG18,FMRKT_ANMLPROD18,PCT_FMRKT_ANMLPROD18,FMRKT_BAKED18,PCT_FMRKT_BAKED18,FMRKT_OTHERFOOD18,PCT_FMRKT_OTHERFOOD18,VEG_FARMS12,VEG_ACRES12,VEG_ACRESPTH12,FRESHVEG_FARMS12,FRESHVEG_ACRES12,FRESHVEG_ACRESPTH12,ORCHARD_FARMS12,ORCHARD_ACRES12,ORCHARD_ACRESPTH12,BERRY_FARMS12,BERRY_ACRES12,BERRY_ACRESPTH12,SLHOUSE12,GHVEG_FARMS12,GHVEG_SQFT12,GHVEG_SQFTPTH12,FOODHUB18,CSA12,AGRITRSM_OPS12,AGRITRSM_RCT12,FARM_TO_SCHOOL15
37001,NC,Alamance,94,12.84153005,1.612511388,531,3.452041971,4,0.024033261,1,25,0,0,0,0,0,0,2,50,1,25,1,25,0,0,1,25,56,164,1.573247,53,162,1.053165347,27,86,0.559087777,23,22,0.143022455,1,7,29200,189.8298033,,12,8,16000,1
37003,NC,Alexander,42,6.965174129,0.360206746,676,18.28212895,1,0.026771611,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,11,226,6.761142363,11,,,29,288,7.788836002,12,12,0.324534833,0,5,8064,218.087408,,4,6,9000,1
37005,NC,Alleghany,17,2.998236332,0.451293341,164,15.00869406,1,0.089597709,0,0,0,0,0,0,0,0,1,100,1,100,1,100,1,100,1,100,24,1864,88.31335225,24,,,9,27,2.470943534,6,6,0.549098563,0,0,0,0,,3,5,14000,1
37007,NC,Anson,18,4.195804196,0.012895572,25,0.949811937,2,0.08039555,0,0,0,0,1,50,0,0,0,0,2,100,1,50,1,50,1,50,16,49,3.001405722,16,49,1.861631397,4,16,0.60787964,4,,,0,3,7200,273.5458379,,2,10,,1
37009,NC,Ashe,83,7.280701754,0.741556535,404,14.88193907,1,0.036888119,1,100,1,100,0,0,1,100,1,100,1,100,1,100,1,100,1,100,66,274,6.446384499,66,266,9.798504439,19,45,1.657641728,34,34,1.252440417,0,19,29833,1098.942793,,10,34,111000,0
37011,NC,Avery,40,8.281573499,2.22118851,382,21.68113968,1,0.057126537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,119,4.597309722,27,,,4,31,1.759464215,10,22,1.248652023,0,0,0,0,,5,40,193000,1
37013,NC,Beaufort,23,6.318681319,0.04851854,59,1.241922243,1,0.021240894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,141,9.619635001,12,141,2.967983666,14,80,1.683962363,5,5,0.105247648,1,0,0,0,,3,7,49000,1
37015,NC,Bertie,7,2.153846154,0.144337314,325,15.78512798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,826,87.95959007,5,205,9.956773034,0,0,0,1,,,1,0,0,0,,1,1,,1
37017,NC,Bladen,38,7.723577236,0.195761948,604,17.30113718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,691,4.754948297,28,,,52,553,15.84027957,42,3670,105.1244593,1,0,0,0,,7,12,293000,1
37019,NC,Brunswick,30,11.81102362,,,,2,0.014625871,0,0,0,0,0,0,0,0,2,100,2,100,2,100,2,100,2,100,22,1100,8.94392232,20,,,11,35,0.311790121,12,31,0.276156964,0,0,0,0,,2,3,,1
37021,NC,Buncombe,168,15.8490566,2.096925367,1141,4.671577077,17,0.065610975,4,23.52941132,0,0,0,0,1,5.882352829,10,58.82352829,10,58.82352829,10,58.82352829,10,58.82352829,10,58.82352829,114,730,2.927412454,112,702,2.874186773,31,152,0.622331039,55,43,0.176054176,0,12,28176,115.3605221,,30,21,,1
