"Total land, by region and States, United States, 1945-2012 1/",,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Regions and States,1945,1949,1954,1959,1964,1969,1974,1978,1982,1987,1992,1997,2002 ,2007 ,2012 ,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,
,-,-,-,-,-,"1,000 acres",-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,
Northeast,"112,402 ","112,378 ","112,378 ","112,324 ","112,223 ","112,129 ","112,129 ","112,129 ","111,730 ","111,730 ","111,401 ","111,401 ","111,390 ","111,390 ","111,123 ",
  Maine ,"19,866 ","19,866 ","19,866 ","19,848 ","19,797 ","19,789 ","19,789 ","19,789 ","19,837 ","19,837 ","19,753 ","19,753 ","19,752 ","19,752 ","19,740 ",
  New Hampshire,"5,775 ","5,771 ","5,771 ","5,769 ","5,781 ","5,777 ","5,777 ","5,777 ","5,756 ","5,756 ","5,740 ","5,740 ","5,740 ","5,740 ","5,730 ",
  Vermont,"5,938 ","5,938 ","5,938 ","5,937 ","5,935 ","5,931 ","5,931 ","5,931 ","5,935 ","5,935 ","5,920 ","5,920 ","5,920 ","5,920 ","5,899 ",
  Massachusetts,"5,060 ","5,035 ","5,035 ","5,035 ","5,013 ","5,009 ","5,009 ","5,009 ","5,008 ","5,008 ","5,016 ","5,016 ","5,018 ","5,018 ","4,992 ",
  Rhode Island,677 ,677 ,677 ,677 ,671 ,671 ,671 ,671 ,675 ,675 ,669 ,669 ,669 ,669 ,662 ,
  Connecticut,"3,135 ","3,135 ","3,135 ","3,135 ","3,117 ","3,112 ","3,112 ","3,112 ","3,118 ","3,118 ","3,101 ","3,101 ","3,101 ","3,101 ","3,099 ",
  New York,"30,675 ","30,684 ","30,684 ","30,681 ","30,636 ","30,612 ","30,612 ","30,612 ","30,321 ","30,321 ","30,223 ","30,223 ","30,217 ","30,217 ","30,161 ",
  New Jersey,"4,814 ","4,814 ","4,814 ","4,813 ","4,820 ","4,813 ","4,813 ","4,813 ","4,779 ","4,779 ","4,748 ","4,748 ","4,747 ","4,747 ","4,707 ",
  Pennsylvania,"28,829 ","28,829 ","28,829 ","28,805 ","28,816 ","28,778 ","28,778 ","28,778 ","28,728 ","28,728 ","28,685 ","28,685 ","28,683 ","28,683 ","28,636 ",
