Year,Outputs
1960,1.0808
1961,1.0994
1962,1.1417
1963,1.1709
1964,1.2103
1965,1.1144
1966,1.1038
1967,1.2162
1968,1.1246
1969,1.1957
1970,1.2429
1971,1.2416
1972,1.2342
1973,1.3358
1974,1.3247
1975,1.3560
1976,1.4101
1977,1.2876
1978,1.4471
1979,1.4261
1980,1.4391
1981,1.5720
1982,1.5492
1983,1.3684
1984,1.5281
1985,1.5138
1986,1.4178
1987,1.5056
1988,1.6207
1989,1.6813
1990,1.7805
1991,1.9263
1992,2.0100
1993,2.0282
1994,2.2666
1995,2.3319
1996,2.3626
1997,2.4837
1998,2.4048
1999,2.3465
2000,2.3848
2001,2.4442
2002,2.3979
2003,2.3845
2004,2.5359
